jid,ss,ret,retobs,Judge Name,Court,Headshot,2013 retention score,2013 position (if different),Description/Bio,a,b,c,d,e,f,g,h,i,j,k,l,m,court,a_1,a_2,a_3,a_4,a_5,a_6,a_7,b_1,b_2,b_3,b_4,b_5,b_6,b_7,c_1,c_2,c_3,c_4,c_5,c_6,c_7,d_1,d_2,d_3,d_4,d_5,d_6,d_7,e_1,e_2,e_3,e_4,e_5,e_6,e_7,f_1,f_2,f_3,f_4,f_5,f_6,f_7,g_1,g_2,g_3,g_4,g_5,g_6,g_7,h_1,h_2,h_3,h_4,h_5,h_6,h_7,i_1,i_2,i_3,i_4,i_5,i_6,i_7,j_1,j_2,j_3,j_4,j_5,j_6,j_7,k_1,k_2,k_3,k_4,k_5,k_6,k_7,l_1,l_2,l_3,l_4,l_5,l_6,l_7,m_1,m_2,m_3,m_4,m_5,m_6,m_7,discipline
Abbi Silver,3.7,65,226,Abbi Silver,Nevada Supreme Court,absilver,65%,then a Clark County district judge,"Elected to the state Supreme Court in 2018, Silver previously served as a judge on the Nevada Court of Appeals. She is up for reelection in 2024.",3.9,3.6,3.6,3.6,3.7,4.1,4.1,4.2,3.6,3.6,,,,1,6,5,13,11,24,41,206,4,11,17,9,19,41,208,5,13,17,6,21,38,205,5,9,18,11,20,37,207,6,11,13,8,18,44,203,11,6,6,9,20,49,194,9,6,8,10,16,50,194,14,4,4,11,19,49,186,7,14,16,6,14,43,199,6,13,13,9,19,40,201,,,,,,,,,,,,,,,,,,,,,,0
Adriana Escobar,3.7,62,164,Adriana Escobar,Clark County District Court,adescobar,71%,,"Appointed to the Clark County District Court in 2012, Escobar was retained by voters and reelected in 2014. She is up for reelection in 2020.",3.6,3.6,3.3,3.4,4.1,4.3,4.3,4.4,4.1,4.4,4,3.5,3.9,3,2,10,16,8,31,33,162,2,10,15,11,32,30,161,2,16,18,10,27,27,160,3,12,18,12,27,28,160,3,5,2,16,29,45,160,11,0,3,12,25,49,145,12,1,2,12,26,47,146,13,0,1,12,27,47,143,7,4,8,10,26,46,151,3,1,2,8,33,52,160,2,5,8,12,29,44,161,3,8,20,14,25,28,161,3,7,9,10,35,36,159,0
Amy Chelini,4.4,92,79,Amy Chelini,Las Vegas Justice Court,amchelini,,,Chelini was elected to Las Vegas Justice Court in 2016. She is up for reelection in 2022.,4.5,4.4,4.3,4.4,4.4,4.6,4.6,4.6,4.4,4.5,4.6,4.6,4.5,5,0,1,3,1,33,61,75,1,3,3,8,27,58,73,1,3,8,5,27,55,73,1,3,3,5,27,60,72,0,3,6,6,21,65,72,1,1,1,3,21,72,71,3,1,3,4,19,69,70,6,1,1,4,21,67,68,0,3,7,7,15,68,71,0,4,1,4,20,70,71,0,3,1,3,24,69,72,0,1,3,4,22,69,72,0,4,3,3,17,74,72,0
Ann Zimmerman,4,74,74,Ann Zimmerman,Las Vegas Justice Court,anzimmerman,76%,,"A Las Vegas justice of the peace since 2000, Zimmerman is up for reelection in 2024.",4,3.8,3.7,3.9,4,4.2,4.1,4.2,4,3.9,4.1,4.2,4.1,5,0,8,8,4,30,49,73,0,8,18,10,15,48,71,0,13,15,11,14,46,71,0,11,8,7,27,46,71,0,9,13,3,22,54,69,1,7,6,9,19,58,68,0,7,9,7,19,58,69,3,7,3,9,22,57,67,0,13,6,9,16,57,69,0,13,12,7,13,55,69,0,10,4,6,23,57,69,0,7,7,3,25,57,68,0,10,7,6,19,58,69,0
Arthur Ritchie Jr,4.1,77,98,Arthur Ritchie Jr.,Clark County Family Court,arritchie,85%,,Ritchie was appointed to Clark County Family Court in 1999. He is up for relection in 2020.,4.2,4,4,4.1,4.2,4.4,4.2,4.3,4.1,4,4.2,4.2,4.1,4,0,6,7,2,28,56,96,0,7,12,5,27,49,94,0,6,11,5,32,45,93,0,5,11,4,28,52,94,0,3,8,9,28,52,92,7,2,1,5,30,55,85,7,6,3,8,28,49,84,12,2,1,9,30,46,80,1,4,10,8,32,46,91,0,2,11,15,25,47,92,0,3,7,7,36,47,91,0,5,4,7,36,48,92,1,3,10,11,29,46,91,0
Bert Brown,4.6,92,51,Bert Brown,Las Vegas Municipal Court,bebrown,89%,,"A Las Vegas municipal judge since 1999, Brown was most recently reelected in 2015. He is up for reelection in 2021.",4.7,4.6,4.5,4.7,4.7,4.7,4.8,4.9,4.5,4.7,4.8,4.7,4.7,6,0,2,0,0,22,76,51,0,2,4,2,20,71,49,0,2,8,6,8,76,49,0,0,4,2,18,76,49,0,0,6,2,12,80,49,0,0,2,2,16,80,49,0,0,0,4,16,80,49,2,0,0,0,15,83,47,0,6,4,0,12,78,49,0,0,4,0,16,80,49,0,0,2,2,14,82,49,0,0,4,2,10,83,48,0,0,2,4,18,76,49,0
Bill Henderson,3.7,73,86,Bill Henderson,Clark County Family Court,bihenderson,71%,,"Before his 2008 election to Clark County Family Court, Henderson worked as an attorney in private practice for 20 years, specializing in family law and civil litigation. He is up for reelection in 2020.",3.7,3.6,3.5,3.5,4,4.2,3.9,4.2,3.5,4.1,3.9,3.6,3.8,4,0,6,13,15,40,27,86,0,7,16,13,40,24,85,0,7,19,15,34,25,85,1,11,14,9,40,25,84,0,5,9,12,35,39,82,13,2,5,2,39,38,71,10,4,15,5,34,33,74,17,2,2,5,37,36,69,2,9,16,15,30,28,79,0,2,8,8,37,43,83,0,2,15,12,35,35,82,0,10,12,12,41,25,83,0,5,12,12,42,29,83,0
Bonnie Bulla,3.7,62,130,Bonnie Bulla,Court of Appeals,bobulla,,,"Bulla was appointed to the Court of Appeals on Feb. 13 to replace Abbi Silver, who was elected to the state Supreme Court. Bulla is up for reelection in 2020.",4.1,3.6,3.5,3.6,3.8,4.3,4.1,4.3,3.6,3.5,,,,2,2,5,6,11,32,43,124,2,10,17,11,20,40,125,2,15,18,8,18,39,125,2,11,20,6,19,43,125,2,9,12,15,17,46,124,13,5,2,10,18,52,110,10,5,6,12,15,52,113,15,4,1,10,17,52,107,4,10,22,9,12,42,120,2,18,12,10,14,43,122,,,,,,,,,,,,,,,,,,,,,,0
Bryce Duckworth,4.5,92,90,Bryce Duckworth,Clark County Family Court,brduckworth,93%,,"Elected in 2008 to Clark County Family Court, Duckworth previously practiced family law. Duckworth is up for reelection in 2020.",4.6,4.5,4.4,4.5,4.6,4.6,4.4,4.4,4.5,4.7,4.7,4.5,4.6,4,0,3,1,1,22,72,89,0,3,5,2,23,67,88,0,6,2,1,26,64,87,0,3,2,3,23,68,88,0,2,5,0,22,71,87,6,2,2,1,18,70,82,3,2,8,3,14,69,83,7,2,6,5,17,63,81,1,4,4,5,20,67,84,0,2,2,0,16,79,87,0,2,2,0,16,79,86,0,2,2,6,22,67,86,0,2,2,2,22,71,86,0
Cara Campbell,4.4,82,38,Cara Campbell,Las Vegas Municipal Court,vacampbell,,,"A longtime former prosecutor, Campbell was elected to the Las Vegas Municipal Court in 2017 after a highly contested race. She is up for reelection in 2024.",4.5,4.2,4.2,4.4,4.3,4.5,4.6,4.6,4.3,4.3,4.4,4.4,4.4,6,3,0,8,5,18,67,38,0,5,11,5,14,65,37,0,3,14,3,19,62,37,0,0,11,6,17,67,36,0,5,11,3,11,70,37,3,0,11,3,14,70,36,3,0,5,3,19,70,36,3,0,6,3,17,72,35,0,5,11,5,8,70,37,0,3,16,0,11,70,37,0,3,11,0,16,70,37,0,6,8,0,17,69,36,0,0,14,0,16,70,37,0
Carolyn Ellsworth,3.2,44,171,Carolyn Ellsworth,Clark County District Court,caellsworth,51%,,"Appointed to the Clark County District Court in 2011, Ellsworth was retained by voters in 2014. She is up for reelection in 2020.",3.7,3,3,3.1,3.1,3.4,3.6,3.7,3,2.8,3.6,3,3.3,3,3,14,8,9,24,41,164,2,22,28,6,14,27,164,2,25,22,9,16,26,162,2,21,21,8,20,28,161,1,23,17,9,21,28,160,6,15,13,14,19,32,153,7,12,8,18,20,34,151,13,11,5,18,21,32,141,2,28,18,9,14,28,161,1,30,21,10,16,22,162,2,13,7,18,29,31,161,4,22,17,18,20,20,159,2,18,15,14,21,30,161,0
Cedric Kerns,3.9,70,64,Cedric Kerns,Las Vegas Municipal Court,cekerns,75%,,"A Las Vegas municipal judge since1997, Kerns was last reelected in 2017. During his more than two decades on the bench, he created a youth offender court. He is up for reelection in 2023.",4,3.8,3.8,3.9,3.9,4.1,4.1,4.2,3.8,3.7,4,4.1,4.1,6,2,11,8,2,22,56,62,2,19,5,6,19,49,62,2,15,11,6,16,50,61,2,15,5,5,22,52,59,2,15,6,6,16,55,61,3,13,5,3,18,58,60,3,16,0,5,15,61,60,8,11,2,5,15,60,57,2,18,10,2,16,52,60,0,15,15,6,15,50,62,0,11,3,6,27,52,62,3,13,0,7,23,54,59,3,10,3,8,19,56,60,0
Charles Hoskin,4,75,92,Charles Hoskin,Clark County Family Court,chhoskin,90%,,"Appointed in 2009 to Clark County Family Court, Hoskins previously worked as an attorney in private practice. He has been the presiding judge over Family Court since 2014 and is up for re-election in 2020.",4.1,3.8,3.8,3.9,3.9,4.2,3.9,4.1,3.8,4,4.1,4.3,4.1,4,1,7,7,4,31,50,89,1,9,12,10,28,39,88,0,10,9,11,28,42,89,0,9,8,9,31,43,88,0,9,10,7,27,47,88,6,6,5,7,28,49,83,5,9,9,10,24,43,84,11,6,3,11,24,44,77,2,13,7,11,27,40,86,1,9,2,11,33,43,87,0,5,6,8,34,48,86,1,3,2,10,31,52,86,0,7,3,8,37,44,86,0
Cheryl Moss,3,42,84,Cheryl Moss,Clark County Family Court,chmoss,44%,,"Moss worked as an attorney in solo private practice between 1997 and 2000, when she was elected to Clark County Family Court. She is up for reelection in 2020.",2.9,3,2.8,2.8,3.5,3.7,3.5,3.8,3.1,3.7,3.5,2.5,3.2,4,1,21,24,13,23,17,85,1,21,24,12,18,24,83,0,24,24,17,18,18,84,0,22,25,16,19,18,85,0,18,7,13,33,29,83,2,13,6,10,36,33,81,2,16,10,13,27,33,81,9,10,2,15,35,29,75,1,22,16,14,23,24,82,1,16,5,7,40,31,82,1,13,10,15,34,27,81,0,40,18,11,16,16,83,0,15,21,17,25,22,81,0
Chris Lee,4.2,76,62,Chris Lee,North Las Vegas Justice Court,chlee,71%,,"First elected to the North Las Vegas Justice Court in 2008, Lee is up for reelection in 2020.",4.3,4,4,4.1,4.2,4.2,4.4,4.4,4.2,4.2,4.3,4.4,4.2,5,2,3,5,10,21,60,61,0,8,17,2,12,62,60,0,8,15,3,14,59,59,0,8,10,2,22,58,60,2,7,10,5,12,64,58,2,7,7,5,16,64,57,3,5,2,10,14,66,57,3,5,3,10,10,68,57,0,7,10,3,14,66,58,0,10,3,5,16,66,58,0,5,5,5,19,66,58,0,5,2,5,22,66,59,0,9,7,2,16,67,57,0
Cynthia Cruz,3.3,48,66,Cynthia Cruz,Las Vegas Justice Court,cycruz,55%,,"Elected in 2012 to Las Vegas Justice Court, Cruz previously owned her own law firm. She is up for reelection in 2024.",3.5,3.1,3.1,3.1,3.4,3.8,3.7,3.9,3.2,3.3,3.5,3.6,3.6,5,0,17,13,6,31,33,64,2,19,21,13,19,27,62,0,18,28,8,18,28,61,0,18,24,11,19,27,62,0,15,18,12,25,30,60,3,10,7,14,31,34,56,3,12,8,12,27,37,57,10,10,3,8,31,37,53,0,16,28,12,11,33,57,0,19,17,15,17,32,59,0,14,15,7,32,32,59,0,14,12,12,28,34,58,0,14,12,9,25,40,57,0
Cynthia Giuliani,3.9,84,67,Cynthia Giuliani,Clark County Family Court,cygiuliani,74%,,Giuliani was elected to Clark County Family Court in 2008. She previously maintained her own law practice in Las Vegas. She is up for reelection in 2020.,4,3.9,3.7,3.8,4.2,4.4,4.3,4.4,3.9,4.4,4.3,3.7,4.1,4,1,6,7,6,38,41,67,2,9,8,5,38,39,65,0,12,12,9,30,36,66,2,12,9,6,34,37,64,2,6,3,8,28,54,64,5,3,0,9,31,52,62,2,5,2,6,31,55,64,8,3,0,8,29,52,60,2,11,5,8,34,41,63,0,5,0,6,29,60,65,0,3,3,6,32,55,65,2,12,8,11,32,35,64,3,5,3,9,38,42,63,0
Cynthia Leung,4.4,84,38,Cynthia Leung,Las Vegas Municipal Court,cyleung,75%,,"First appointed to the Las Vegas Municipal Court in 2008, Chief Judge Cynthia Leung was retained by voters in 2009 and reelected in 2015. She is up for reelection in 2021.",4.4,4.3,4.1,4.4,4.3,4.6,4.6,4.6,4.1,4.3,4.6,4.3,4.3,6,0,3,8,5,16,68,38,0,3,11,8,14,64,36,0,6,12,6,24,53,34,0,3,3,6,28,61,36,0,6,6,12,9,68,34,0,3,0,8,11,78,36,0,3,0,11,11,75,36,6,3,0,8,8,75,34,0,6,11,11,11,61,36,0,6,6,8,14,67,36,0,0,0,11,14,74,35,0,3,11,6,11,69,36,0,6,6,11,8,69,36,0
David Gibson,4.2,88,73,David Gibson Jr.,Clark County Family Court,dagibson,,,"A lifelong Henderson resident, Gibson was appointed in 2018 to Clark County Family Court after working for six years as a juvenile dependency hearing master. He is up for reelection in 2020.",4.2,4,4.1,4.1,4.2,4.4,4.2,4.2,4.1,4.3,4.4,4.3,4.2,4,0,4,3,11,27,54,70,0,6,7,7,36,43,67,0,6,7,7,31,48,67,0,6,7,9,30,48,69,0,7,1,6,33,52,67,9,3,3,3,31,51,62,6,3,7,6,28,50,64,13,6,1,6,26,47,59,3,9,6,3,32,47,66,1,3,4,6,34,51,67,0,3,1,3,43,50,68,1,4,1,4,41,48,68,4,6,1,7,33,48,66,0
David Gibson Sr,3.9,77,47,David Gibson Sr.,Henderson Justice Court,dagibson,85%,,"First elected to the Henderson Justice Court in 2008, Gibson is up for reelection in 2020.",3.9,3.7,3.7,3.7,4,4,4,4,3.9,4.2,4.2,4.1,4.1,5,0,13,9,2,24,51,45,0,16,11,5,20,48,44,0,18,9,5,23,45,44,0,14,14,5,21,47,43,0,10,10,7,24,50,42,0,12,2,12,19,56,43,2,9,2,14,21,51,42,5,10,5,10,24,46,39,0,7,14,10,19,50,42,0,7,5,7,26,55,42,0,7,5,5,26,57,42,0,7,5,14,21,52,42,0,7,7,10,22,54,41,0
David Jones,4.1,85,142,David Jones,Clark County District Court,dajones,,,"Appointed to the Clark County District Court in 2016, Jones was retained by voters in 2018. He is up for reelection in 2020.",4.2,4,3.9,4,4.2,4.4,4.3,4.4,4.1,4.1,4.3,4.4,4.2,3,2,4,6,6,30,51,139,2,6,11,5,32,44,137,2,8,10,9,32,39,136,2,7,5,8,35,42,134,2,6,4,7,26,55,134,13,4,1,7,21,54,118,12,4,1,8,22,52,121,14,3,0,10,21,52,119,6,7,5,9,25,49,130,1,8,3,10,33,45,136,2,5,1,4,38,50,134,2,3,2,4,35,54,134,4,5,4,6,33,49,133,0
Denise Gentile,3.8,76,74,Denise Gentile,Clark County Family Court,degentile,,,"Gentile was elected to Clark County Family Court in 2014, defeating incumbent William Gonzalez. She is up for reelection in 2020.",3.8,3.6,3.7,3.6,3.9,4.2,3.9,4.1,3.7,4,4.1,3.7,3.9,4,0,8,8,9,46,28,74,1,14,5,15,37,27,72,0,11,10,8,45,26,73,0,11,12,8,41,27,73,1,7,8,7,39,38,71,7,4,1,4,46,38,67,4,10,4,11,36,35,69,13,4,1,7,44,31,63,0,11,7,15,38,29,72,0,7,7,6,38,43,72,0,6,6,4,45,39,71,0,8,11,10,40,31,72,0,7,6,13,43,32,72,0
Diana Sullivan,3.7,69,86,Diana Sullivan,Las Vegas Justice Court,disullivan,75%,,Sullivan was elected to Las Vegas Justice Court in 2009. She previously worked for 17 years as an attorney in private practice. Sullivan is up for reelection in 2020.,3.9,3.6,3.4,3.6,3.8,4.2,4.1,4.2,3.8,3.7,4,3.9,3.8,5,0,13,9,7,20,51,85,0,16,18,7,11,48,83,0,24,13,6,16,41,83,0,17,12,11,18,42,83,1,17,6,11,14,51,80,2,10,0,12,16,59,79,3,10,3,10,19,56,78,10,10,0,9,19,53,73,0,20,5,10,11,54,81,0,12,17,9,11,51,81,0,10,5,12,19,54,81,0,12,7,11,17,52,81,0,14,11,7,21,47,81,0
Douglas Hedger,4.1,85,33,Douglas Hedger,Henderson Municipal Court,dohedger,88%,,"First elected to the Henderson Municipal Court in 2003, Hedger was reelected in 2009 and 2015. He is up for reelection in 2022.",4.3,4.1,4,3.9,4.1,4.1,4.1,4.1,4,4,4.2,4.2,4,6,0,6,0,6,34,53,32,0,10,0,10,32,48,31,0,10,3,13,29,45,31,0,10,10,6,29,45,31,0,10,3,6,29,52,31,0,10,3,6,26,55,31,0,10,3,6,26,55,31,3,10,0,10,29,48,30,0,10,6,6,29,48,31,0,10,3,13,26,48,31,0,10,0,10,26,55,31,0,10,0,6,32,52,31,0,10,3,10,29,48,31,0
Douglas Herndon,4.4,85,194,Douglas Herndon,Clark County District Court,doherndon,81%,,"Appointed to the Clark County District Court in 2005, Herndon was retained by voters and last reelected in 2014. He is up for reelection in 2020.",4.5,4.4,4.3,4.4,4.3,4.4,4.4,4.5,4.2,4.3,4.5,4.4,4.4,3,2,4,2,2,23,68,188,2,4,5,6,22,62,187,2,5,5,6,24,58,186,2,4,5,4,24,62,187,2,6,6,4,21,61,185,5,4,3,6,18,64,180,6,4,2,7,18,63,178,9,2,2,7,19,61,171,3,6,7,5,19,60,183,2,5,5,5,24,59,186,1,2,3,6,21,67,186,2,3,2,7,24,63,184,2,3,6,5,22,62,184,0
Elana Graham,4.1,75,73,Elana Graham,Las Vegas Justice Court,elgraham,,,"First elected to Las Vegas Justice Court in 2018, Graham is up for reelection in 2024.",4.2,4,4,3.9,4.1,4.4,4.4,4.4,4,4.2,4.2,4.2,4.2,5,3,6,11,3,17,60,68,3,9,12,3,16,57,66,3,12,12,0,13,60,65,2,9,15,3,18,53,65,0,9,12,2,15,62,66,0,6,4,3,18,69,67,0,4,6,4,19,66,67,0,4,4,4,19,67,67,0,13,9,3,13,61,67,0,6,7,6,21,60,67,0,6,8,5,21,61,66,1,6,10,6,16,60,66,0,6,9,6,18,61,66,0
Elissa Cadish,4.5,89,248,Elissa Cadish,Nevada Supreme Court,elcadish,87%,then a Clark County district judge,"Elected to the state Supreme Court in 2018, Cadish previously served as a Clark County district judge for more than a decade. She is up for reelection in 2024.",4.6,4.4,4.4,4.4,4.5,4.6,4.6,4.6,4.4,4.6,,,,1,7,2,0,3,20,68,223,7,3,3,5,21,62,227,7,4,3,7,20,58,224,7,2,5,5,25,56,224,5,2,4,4,17,67,226,9,2,3,5,11,70,219,9,3,1,6,11,69,220,11,2,1,8,10,68,214,6,3,4,7,16,63,226,4,2,2,6,17,69,230,,,,,,,,,,,,,,,,,,,,,,0
Elizabeth Gonzalez,4.1,73,271,Elizabeth Gonzalez,Clark County District Court,elgonzalez,81%,,"Appointed to the Clark County District Court in 2004, Gonzalez was retained by voters and last reelected in 2014. She is up for reelection in 2020.",4.4,3.9,3.9,4,4,4.4,4.3,4.4,3.7,3.7,4.2,4.3,3.9,3,0,3,4,5,28,60,265,0,8,14,7,23,48,262,0,9,11,11,22,46,263,0,5,11,11,28,46,264,0,7,8,14,21,50,265,5,2,2,10,24,56,249,4,4,6,7,24,55,252,8,2,2,10,26,53,242,2,14,12,10,19,43,259,0,11,13,10,23,43,263,0,3,6,9,29,53,263,1,2,5,10,28,53,259,1,5,13,13,22,47,261,0
Eric Goodman,4.1,80,70,Eric Goodman,Las Vegas Justice Court,ergoodman,74%,,"First elected to Las Vegas Justice Court in 2008, Goodman is up for reelection in 2020.",4.2,4,3.9,4,4,4.3,4.3,4.4,4,3.9,4.3,4.3,4.1,5,0,7,7,4,28,54,72,0,9,10,7,23,51,70,0,10,11,9,21,49,70,0,10,7,3,32,48,69,0,11,9,5,20,56,66,1,6,3,10,15,64,66,3,7,6,3,15,66,65,8,6,2,5,15,65,61,0,10,7,7,19,55,67,0,10,10,10,16,52,67,0,4,4,9,22,60,67,0,3,6,6,25,60,67,0,7,7,10,16,58,67,0
